feature,src_lang,tgt_lang,connection,dep_model,ml_model,val,Dep Parse
sent_len,en,en,residual,stanza,mbert-base,Low,-0.0040374977615111884
sent_len,en,en,residual,stanza,mbert-base,Medium,0.004046472723918448
sent_len,en,en,residual,stanza,mbert-base,High,0.04215397815631794
lex_len,en,en,residual,stanza,mbert-base,High,0.016564786437336054
lex_len,en,en,residual,stanza,mbert-base,Low,0.0020804912849834434
lex_len,en,en,residual,stanza,mbert-base,Medium,0.03102976994461626
dep_len,en,en,residual,stanza,mbert-base,High,0.002554231364892412
dep_len,en,en,residual,stanza,mbert-base,Medium,0.0425788464674981
dep_len,en,en,residual,stanza,mbert-base,Low,0.004640096832912111
sent_len,en,en,residual,stanza,xlmr-base,Low,-0.005035351693795098
sent_len,en,en,residual,stanza,xlmr-base,Medium,0.007984895305097828
sent_len,en,en,residual,stanza,xlmr-base,High,0.010766313478641765
lex_len,en,en,residual,stanza,xlmr-base,High,0.0031797101943868977
lex_len,en,en,residual,stanza,xlmr-base,Low,0.0027750345583406055
lex_len,en,en,residual,stanza,xlmr-base,Medium,0.019119299842136228
dep_len,en,en,residual,stanza,xlmr-base,High,-0.0021847139408758265
dep_len,en,en,residual,stanza,xlmr-base,Medium,0.001649828697561917
dep_len,en,en,residual,stanza,xlmr-base,Low,0.004310856066244484
sent_len,en,en,residual,trankit,mbert-base,Medium,-0.0033243539470680927
sent_len,en,en,residual,trankit,mbert-base,Low,-0.0073047661827876365
sent_len,en,en,residual,trankit,mbert-base,High,0.007618265466751262
lex_len,en,en,residual,trankit,mbert-base,High,0.001584848669377692
lex_len,en,en,residual,trankit,mbert-base,Low,0.0008703132035396965
lex_len,en,en,residual,trankit,mbert-base,Medium,0.015054094124647865
dep_len,en,en,residual,trankit,mbert-base,High,-0.0018216475167595059
dep_len,en,en,residual,trankit,mbert-base,Medium,0.00159823332793263
dep_len,en,en,residual,trankit,mbert-base,Low,0.006269634066222718
sent_len,en,en,residual,trankit,xlmr-base,Low,-0.006473880456819625
sent_len,en,en,residual,trankit,xlmr-base,Medium,0.0012987695735918736
sent_len,en,en,residual,trankit,xlmr-base,High,0.0017124476283307821
lex_len,en,en,residual,trankit,xlmr-base,High,-0.003943080684032152
lex_len,en,en,residual,trankit,xlmr-base,Low,0.0030127184513246696
lex_len,en,en,residual,trankit,xlmr-base,Medium,0.011777278436301386
dep_len,en,en,residual,trankit,xlmr-base,High,-0.004988413408011372
dep_len,en,en,residual,trankit,xlmr-base,Medium,-0.00035412650117261357
dep_len,en,en,residual,trankit,xlmr-base,Low,0.008816353442568148
sent_len,en,es,residual,stanza,mbert-base,Medium,-0.015034717141394482
sent_len,en,es,residual,stanza,mbert-base,Low,0.006706780994019668
sent_len,en,es,residual,stanza,mbert-base,High,0.0073708138327668316
lex_len,en,es,residual,stanza,mbert-base,High,0.0034597632395149125
lex_len,en,es,residual,stanza,mbert-base,Low,0.005731023724959483
lex_len,en,es,residual,stanza,mbert-base,Medium,0.009752599521273275
dep_len,en,es,residual,stanza,mbert-base,High,0.0012998798712524628
dep_len,en,es,residual,stanza,mbert-base,Medium,0.0061121616679001844
dep_len,en,es,residual,stanza,mbert-base,Low,0.00954227262981111
sent_len,en,es,residual,stanza,xlmr-base,Medium,0.008643814205519074
sent_len,en,es,residual,stanza,xlmr-base,Low,0.0030985528279990904
sent_len,en,es,residual,stanza,xlmr-base,High,0.006937219009610751
lex_len,en,es,residual,stanza,xlmr-base,High,0.0018433659693143367
lex_len,en,es,residual,stanza,xlmr-base,Low,0.010550261091533897
lex_len,en,es,residual,stanza,xlmr-base,Medium,0.010211903838595937
dep_len,en,es,residual,stanza,xlmr-base,High,0.0012099638553375591
dep_len,en,es,residual,stanza,xlmr-base,Medium,0.0056530689573855986
dep_len,en,es,residual,stanza,xlmr-base,Low,0.011188767328055849
sent_len,en,es,residual,trankit,mbert-base,Medium,0.0013744699326827536
sent_len,en,es,residual,trankit,mbert-base,Low,0.0003080417590228812
sent_len,en,es,residual,trankit,mbert-base,High,0.005287200591204355
lex_len,en,es,residual,trankit,mbert-base,High,0.0017759253343899717
lex_len,en,es,residual,trankit,mbert-base,Low,0.009506716764996925
lex_len,en,es,residual,trankit,mbert-base,Medium,0.0042780637439161495
dep_len,en,es,residual,trankit,mbert-base,High,0.0006908954057612826
dep_len,en,es,residual,trankit,mbert-base,Medium,0.0026887967384635614
dep_len,en,es,residual,trankit,mbert-base,Low,0.007253578408880301
sent_len,en,es,residual,trankit,xlmr-base,Medium,0.0011340627462276265
sent_len,en,es,residual,trankit,xlmr-base,Low,0.004983109674629338
sent_len,en,es,residual,trankit,xlmr-base,High,0.0071501312919267646
lex_len,en,es,residual,trankit,xlmr-base,High,0.003002639921221295
lex_len,en,es,residual,trankit,xlmr-base,Low,0.009508398493582537
lex_len,en,es,residual,trankit,xlmr-base,Medium,0.011789174467109365
dep_len,en,es,residual,trankit,xlmr-base,High,0.0032567288226529323
dep_len,en,es,residual,trankit,xlmr-base,Medium,0.003678440508319114
dep_len,en,es,residual,trankit,xlmr-base,Low,0.007753532866491941
sent_len,en,fr,residual,stanza,mbert-base,High,0.0034859804473195144
sent_len,en,fr,residual,stanza,mbert-base,Medium,-0.0045204223179295955
sent_len,en,fr,residual,stanza,mbert-base,Low,0.04472431433141966
lex_len,en,fr,residual,stanza,mbert-base,High,0.003319487194877735
lex_len,en,fr,residual,stanza,mbert-base,Low,0.004834049012238051
lex_len,en,fr,residual,stanza,mbert-base,Medium,0.006449211473680383
dep_len,en,fr,residual,stanza,mbert-base,High,0.0038820716342359285
dep_len,en,fr,residual,stanza,mbert-base,Medium,-0.014389505675660108
dep_len,en,fr,residual,stanza,mbert-base,Low,0.0069896550958988835
sent_len,en,fr,residual,stanza,xlmr-base,Medium,-0.0011779507868303618
sent_len,en,fr,residual,stanza,xlmr-base,Low,0.014772822064272662
sent_len,en,fr,residual,stanza,xlmr-base,High,0.0012532527870904309
lex_len,en,fr,residual,stanza,xlmr-base,High,0.0025088180537252702
lex_len,en,fr,residual,stanza,xlmr-base,Low,0.005049492595253002
lex_len,en,fr,residual,stanza,xlmr-base,Medium,-0.002445228232406671
dep_len,en,fr,residual,stanza,xlmr-base,High,0.0007729923452545195
dep_len,en,fr,residual,stanza,xlmr-base,Medium,-0.0072831502164920625
dep_len,en,fr,residual,stanza,xlmr-base,Low,0.009194123951161037
sent_len,en,fr,residual,trankit,mbert-base,High,0.0010739023236467915
sent_len,en,fr,residual,trankit,mbert-base,Medium,-0.004242043796246597
sent_len,en,fr,residual,trankit,mbert-base,Low,0.016778195491642278
lex_len,en,fr,residual,trankit,mbert-base,High,0.002585210062790222
lex_len,en,fr,residual,trankit,mbert-base,Low,0.009145102397891791
lex_len,en,fr,residual,trankit,mbert-base,Medium,-0.005684801842979148
dep_len,en,fr,residual,trankit,mbert-base,High,0.0017261646318369461
dep_len,en,fr,residual,trankit,mbert-base,Medium,-0.01012221210619857
dep_len,en,fr,residual,trankit,mbert-base,Low,0.007807770192679753
sent_len,en,fr,residual,trankit,xlmr-base,High,0.0018532289407422464
sent_len,en,fr,residual,trankit,xlmr-base,Medium,-0.007660311725835367
sent_len,en,fr,residual,trankit,xlmr-base,Low,0.020806245328805817
lex_len,en,fr,residual,trankit,xlmr-base,High,0.001823567412019389
lex_len,en,fr,residual,trankit,xlmr-base,Low,0.005368056690240985
lex_len,en,fr,residual,trankit,xlmr-base,Medium,-0.006321868934900943
dep_len,en,fr,residual,trankit,xlmr-base,High,-0.00012954769902040475
dep_len,en,fr,residual,trankit,xlmr-base,Medium,-0.008062046441444148
dep_len,en,fr,residual,trankit,xlmr-base,Low,0.010411630736300692
sent_len,en,it,residual,stanza,mbert-base,High,0.002023875945305509
sent_len,en,it,residual,stanza,mbert-base,Medium,-0.008594377074491955
sent_len,en,it,residual,stanza,mbert-base,Low,0.01742573016118487
lex_len,en,it,residual,stanza,mbert-base,High,0.0005648177302979285
lex_len,en,it,residual,stanza,mbert-base,Medium,-0.004585150763802948
lex_len,en,it,residual,stanza,mbert-base,Low,0.021359778322002088
dep_len,en,it,residual,stanza,mbert-base,High,-0.0009465957140062375
dep_len,en,it,residual,stanza,mbert-base,Medium,-0.0012607495619280096
dep_len,en,it,residual,stanza,mbert-base,Low,0.01991391933863418
sent_len,en,it,residual,stanza,xlmr-base,High,0.0019154289887453047
sent_len,en,it,residual,stanza,xlmr-base,Medium,-0.007673377018590499
sent_len,en,it,residual,stanza,xlmr-base,Low,0.015005462780640189
lex_len,en,it,residual,stanza,xlmr-base,High,0.0006189796604039177
lex_len,en,it,residual,stanza,xlmr-base,Medium,-0.006952121789687293
lex_len,en,it,residual,stanza,xlmr-base,Low,0.022875096994109834
dep_len,en,it,residual,stanza,xlmr-base,High,-0.0015077735101869383
dep_len,en,it,residual,stanza,xlmr-base,Medium,-0.0010849548289266764
dep_len,en,it,residual,stanza,xlmr-base,Low,0.020511915538587666
sent_len,en,it,residual,trankit,mbert-base,High,0.0004408638785518004
sent_len,en,it,residual,trankit,mbert-base,Medium,0.008641565571121168
sent_len,en,it,residual,trankit,mbert-base,Low,0.018691667392272127
lex_len,en,it,residual,trankit,mbert-base,High,-0.000229555360208189
