src,tgt,dep_model,gnn_model,ml_model,top_seed,top_f1_mean,top_f1_std,all_f1_mean,all_f1_std
en,en,stanza,rgcn,mbert-base,"[98105, 98109, 15123]",94.43,0.18,94.03,0.54
en,en,stanza,rgat,mbert-base,"[15232, 98109, 98105]",94.92,0.31,94.45,0.63
en,en,trankit,rgcn,mbert-base,"[98109, 98105, 11737]",94.01,0.18,93.33,0.88
en,en,trankit,rgat,mbert-base,"[15123, 11737, 15232]",94.07,0.47,93.75,0.55
en,en,None,None,mbert-base,"[98109, 98105, 15232]",94.3,0.57,93.53,1.07
en,en,stanza,rgcn,xlmr-base,"[98109, 11737, 15123]",91.84,0.83,88.91,5.01
en,en,stanza,rgat,xlmr-base,"[15123, 98105, 15232]",92.15,0.42,91.61,0.74
en,en,trankit,rgcn,xlmr-base,"[11737, 15123, 98109]",91.87,0.89,91.24,1.04
en,en,trankit,rgat,xlmr-base,"[98105, 98109, 15123]",92.56,0.73,91.48,1.44
en,en,None,None,xlmr-base,"[15123, 15232, 98105]",92.07,0.75,89.15,4.9
en,hi,stanza,rgcn,mbert-base,"[98105, 15123, 98109]",60.14,0.42,57.76,3.15
en,hi,stanza,rgat,mbert-base,"[98105, 11737, 15232]",58.72,0.33,57.98,1.18
en,hi,trankit,rgcn,mbert-base,"[15123, 98105, 15232]",62.52,0.77,60.77,2.33
en,hi,trankit,rgat,mbert-base,"[98105, 11737, 15232]",61.82,1.01,60.73,1.64
en,hi,None,None,mbert-base,"[11737, 98109, 98105]",60.73,0.65,60.04,1.1
en,hi,stanza,rgcn,xlmr-base,"[11737, 15232, 15123]",55.31,1.18,46.57,16.16
en,hi,stanza,rgat,xlmr-base,"[15123, 11737, 98105]",55.54,2.27,54.09,2.54
en,hi,trankit,rgcn,xlmr-base,"[11737, 98109, 15232]",58.8,0.47,55.76,3.85
en,hi,trankit,rgat,xlmr-base,"[98109, 15123, 15232]",61.0,2.51,58.95,3.19
en,hi,None,None,xlmr-base,"[15232, 98109, 15123]",57.43,2.26,48.52,13.9
en,te,stanza,rgcn,mbert-base,"[15123, 98105, 98109]",38.27,1.2,35.95,3.23
en,te,stanza,rgat,mbert-base,"[98109, 15123, 15232]",40.58,2.18,37.05,4.97
en,te,trankit,rgcn,mbert-base,"[15123, 15232, 98105]",37.96,1.36,36.9,1.72
en,te,trankit,rgat,mbert-base,"[98109, 15232, 15123]",37.82,1.79,36.59,2.05
en,te,None,None,mbert-base,"[11737, 98105, 15232]",35.29,0.83,34.13,1.56
en,te,stanza,rgcn,xlmr-base,"[15232, 15123, 11737]",36.99,1.57,29.59,11.82
en,te,stanza,rgat,xlmr-base,"[11737, 15123, 98109]",37.83,1.85,35.38,3.77
en,te,trankit,rgcn,xlmr-base,"[11737, 98109, 15232]",36.41,3.78,33.54,4.65
en,te,trankit,rgat,xlmr-base,"[98109, 15123, 11737]",39.01,4.02,37.13,3.88
en,te,None,None,xlmr-base,"[15232, 98109, 15123]",37.17,2.45,29.15,12.84
hi,en,stanza,rgcn,mbert-base,"[98105, 98109, 15123]",68.59,0.57,67.58,1.51
hi,en,stanza,rgat,mbert-base,"[15232, 98109, 15123]",67.76,2.29,66.02,2.78
hi,en,trankit,rgcn,mbert-base,"[98109, 98105, 15123]",68.1,0.78,67.59,0.87
hi,en,trankit,rgat,mbert-base,"[15123, 11737, 15232]",68.01,1.64,66.63,2.24
hi,en,None,None,mbert-base,"[15232, 15123, 11737]",69.69,1.91,67.69,2.94
hi,en,stanza,rgcn,xlmr-base,"[98105, 15123, 15232]",57.41,1.25,51.19,10.09
hi,en,stanza,rgat,xlmr-base,"[15232, 98105, 98109]",61.05,2.46,58.73,3.5
hi,en,trankit,rgcn,xlmr-base,"[15232, 15123, 98109]",59.55,0.79,58.8,1.35
hi,en,trankit,rgat,xlmr-base,"[15123, 98109, 98105]",57.33,2.44,49.83,11.87
hi,en,None,None,xlmr-base,"[98109, 15232, 98105]",59.12,1.78,56.87,3.18
hi,hi,stanza,rgcn,mbert-base,"[15123, 98109, 15232]",90.88,0.31,90.37,0.81
hi,hi,stanza,rgat,mbert-base,"[98105, 15123, 15232]",89.54,1.37,88.92,1.31
hi,hi,trankit,rgcn,mbert-base,"[98105, 98109, 11737]",89.73,0.15,89.42,0.47
hi,hi,trankit,rgat,mbert-base,"[98109, 11737, 98105]",88.92,0.46,88.18,0.97
hi,hi,None,None,mbert-base,"[11737, 98109, 98105]",89.64,0.4,89.01,0.93
hi,hi,stanza,rgcn,xlmr-base,"[15232, 98109, 15123]",89.64,1.09,87.77,3.1
hi,hi,stanza,rgat,xlmr-base,"[15232, 15123, 11737]",89.88,0.95,89.23,1.1
hi,hi,trankit,rgcn,xlmr-base,"[98109, 11737, 98105]",89.93,0.81,89.53,0.8
hi,hi,trankit,rgat,xlmr-base,"[98109, 15123, 11737]",89.21,1.03,87.26,2.62
hi,hi,None,None,xlmr-base,"[98105, 98109, 15123]",88.66,0.89,88.16,0.92
hi,te,stanza,rgcn,mbert-base,"[98109, 15123, 15232]",49.43,0.75,47.45,2.51
hi,te,stanza,rgat,mbert-base,"[15232, 11737, 98105]",49.69,0.62,47.94,2.98
hi,te,trankit,rgcn,mbert-base,"[15123, 15232, 98105]",49.59,2.16,47.3,3.27
hi,te,trankit,rgat,mbert-base,"[98105, 15123, 11737]",53.86,0.91,50.76,3.99
hi,te,None,None,mbert-base,"[11737, 15123, 98105]",49.55,2.34,47.97,2.66
hi,te,stanza,rgcn,xlmr-base,"[98105, 15232, 98109]",54.69,1.2,49.7,8.57
hi,te,stanza,rgat,xlmr-base,"[98109, 98105, 15232]",54.82,2.13,53.1,2.85
hi,te,trankit,rgcn,xlmr-base,"[15123, 15232, 98109]",54.32,1.78,53.02,2.26
hi,te,trankit,rgat,xlmr-base,"[15123, 98109, 98105]",54.75,2.27,50.26,7.3
hi,te,None,None,xlmr-base,"[98109, 15123, 98105]",53.7,0.99,52.64,1.51
te,en,stanza,rgcn,mbert-base,"[15232, 98109, 98105]",45.55,1.4,44.31,1.87
te,en,stanza,rgat,mbert-base,"[98109, 15123, 15232]",44.81,0.3,44.32,0.64
te,en,trankit,rgcn,mbert-base,"[15232, 11737, 15123]",47.71,0.83,46.47,1.95
te,en,trankit,rgat,mbert-base,"[15123, 11737, 15232]",46.15,1.16,45.11,1.67
te,en,None,None,mbert-base,"[98109, 11737, 15232]",45.31,1.67,44.28,1.9
te,en,stanza,rgcn,xlmr-base,"[98109, 15232, 11737]",41.19,2.23,38.6,4.05
te,en,stanza,rgat,xlmr-base,"[98105, 11737, 98109]",38.96,0.7,37.26,2.16
te,en,trankit,rgcn,xlmr-base,"[15123, 15232, 11737]",41.83,0.55,39.89,2.52
te,en,trankit,rgat,xlmr-base,"[98105, 11737, 98109]",41.36,0.26,38.76,3.83
te,en,None,None,xlmr-base,"[11737, 15232, 98105]",40.94,2.6,37.82,4.94
te,hi,stanza,rgcn,mbert-base,"[11737, 15123, 15232]",54.02,1.33,52.01,2.79
te,hi,stanza,rgat,mbert-base,"[15232, 98105, 11737]",56.63,0.34,55.15,1.88
te,hi,trankit,rgcn,mbert-base,"[15232, 98109, 15123]",54.2,0.13,53.32,1.51
te,hi,trankit,rgat,mbert-base,"[11737, 98109, 98105]",54.23,2.48,53.1,2.38
te,hi,None,None,mbert-base,"[98109, 15232, 98105]",54.39,2.58,51.32,4.97
te,hi,stanza,rgcn,xlmr-base,"[15123, 11737, 98109]",55.46,0.93,53.2,3.6
te,hi,stanza,rgat,xlmr-base,"[98105, 98109, 15232]",51.97,3.22,49.97,3.5
te,hi,trankit,rgcn,xlmr-base,"[15123, 11737, 98109]",53.73,0.62,52.99,1.03
te,hi,trankit,rgat,xlmr-base,"[98105, 98109, 15232]",53.66,1.77,51.93,2.53
te,hi,None,None,xlmr-base,"[98105, 11737, 15232]",52.84,0.73,50.71,3.02
te,te,stanza,rgcn,mbert-base,"[11737, 15232, 15123]",86.08,0.94,85.28,1.23
te,te,stanza,rgat,mbert-base,"[98105, 11737, 15123]",85.91,1.07,84.56,1.94
te,te,trankit,rgcn,mbert-base,"[98109, 15232, 11737]",85.88,1.86,84.5,2.23
te,te,trankit,rgat,mbert-base,"[15232, 11737, 98109]",84.56,0.81,83.87,1.12
te,te,None,None,mbert-base,"[11737, 98109, 98105]",84.86,0.43,83.87,1.4
te,te,stanza,rgcn,xlmr-base,"[15123, 98105, 98109]",85.63,0.66,85.13,0.8
te,te,stanza,rgat,xlmr-base,"[15232, 98109, 11737]",85.69,0.6,85.1,0.92
te,te,trankit,rgcn,xlmr-base,"[11737, 15232, 98105]",85.18,0.53,84.09,1.58
te,te,trankit,rgat,xlmr-base,"[98105, 98109, 11737]",85.89,1.57,84.11,2.5
te,te,None,None,xlmr-base,"[15123, 98105, 98109]",86.26,1.11,85.64,1.16
