DEP,GNN,ENC,Src,en,hi,te
stanza,rgcn,mbert-base,en,-,60.1\pm0.4,38.3\pm1.2
stanza,rgat,mbert-base,en,-,58.7\pm0.3,40.6\pm2.2
trankit,rgcn,mbert-base,en,-,62.5\pm0.8,38.0\pm1.4
trankit,rgat,mbert-base,en,-,61.8\pm1.0,37.8\pm1.8
-,-,mbert-base,en,-,60.7\pm0.6,35.3\pm0.8
stanza,rgcn,mbert-base,hi,68.6\pm0.6,-,49.4\pm0.8
stanza,rgat,mbert-base,hi,67.8\pm2.3,-,49.7\pm0.6
trankit,rgcn,mbert-base,hi,68.1\pm0.8,-,49.6\pm2.2
trankit,rgat,mbert-base,hi,68.0\pm1.6,-,53.9\pm0.9
-,-,mbert-base,hi,69.7\pm1.9,-,49.5\pm2.3
stanza,rgcn,mbert-base,te,45.6\pm1.4,54.0\pm1.3,-
stanza,rgat,mbert-base,te,44.8\pm0.3,56.6\pm0.3,-
trankit,rgcn,mbert-base,te,47.7\pm0.8,54.2\pm0.1,-
trankit,rgat,mbert-base,te,46.1\pm1.2,54.2\pm2.5,-
-,-,mbert-base,te,45.3\pm1.7,54.4\pm2.6,-
stanza,rgcn,xlmr-base,en,-,55.3\pm1.2,37.0\pm1.6
stanza,rgat,xlmr-base,en,-,55.5\pm2.3,37.8\pm1.9
trankit,rgcn,xlmr-base,en,-,58.8\pm0.5,36.4\pm3.8
trankit,rgat,xlmr-base,en,-,61.0\pm2.5,39.0\pm4.0
-,-,xlmr-base,en,-,57.4\pm2.3,37.2\pm2.5
stanza,rgcn,xlmr-base,hi,57.4\pm1.3,-,54.7\pm1.2
stanza,rgat,xlmr-base,hi,61.0\pm2.5,-,54.8\pm2.1
trankit,rgcn,xlmr-base,hi,59.5\pm0.8,-,54.3\pm1.8
trankit,rgat,xlmr-base,hi,57.3\pm2.4,-,54.8\pm2.3
-,-,xlmr-base,hi,59.1\pm1.8,-,53.7\pm1.0
stanza,rgcn,xlmr-base,te,41.2\pm2.2,55.5\pm0.9,-
stanza,rgat,xlmr-base,te,39.0\pm0.7,52.0\pm3.2,-
trankit,rgcn,xlmr-base,te,41.8\pm0.6,53.7\pm0.6,-
trankit,rgat,xlmr-base,te,41.4\pm0.3,53.7\pm1.8,-
-,-,xlmr-base,te,40.9\pm2.6,52.8\pm0.7,-
