feature,src_lang,tgt_lang,connection,dep_model,ml_model,val,Dep Parse
sent_len,en,en,residual,stanza,mbert-base,High,-0.0014598610073596197
sent_len,en,en,residual,stanza,mbert-base,Low,0.019921970536986966
sent_len,en,en,residual,stanza,mbert-base,Medium,-0.0041541654503077785
lex_len,en,en,residual,stanza,mbert-base,High,-0.0010581836519151233
lex_len,en,en,residual,stanza,mbert-base,Low,0.030005109347954972
lex_len,en,en,residual,stanza,mbert-base,Medium,-0.019772045046855702
dep_len,en,en,residual,stanza,mbert-base,High,0.001988306131578965
dep_len,en,en,residual,stanza,mbert-base,Medium,-0.0021067427765476543
dep_len,en,en,residual,stanza,mbert-base,Low,0.021809912252222174
sent_len,en,en,residual,stanza,xlmr-base,High,-0.00972912339377452
sent_len,en,en,residual,stanza,xlmr-base,Low,-0.005153061672532933
sent_len,en,en,residual,stanza,xlmr-base,Medium,0.004815318058482565
lex_len,en,en,residual,stanza,xlmr-base,High,0.01273004902105812
lex_len,en,en,residual,stanza,xlmr-base,Low,-0.002710745480209553
lex_len,en,en,residual,stanza,xlmr-base,Medium,-0.004380653527255807
dep_len,en,en,residual,stanza,xlmr-base,High,-0.004619896107275645
dep_len,en,en,residual,stanza,xlmr-base,Medium,-0.00370194846666716
dep_len,en,en,residual,stanza,xlmr-base,Low,0.01400813942697443
sent_len,en,en,residual,trankit,mbert-base,High,-0.005215834687440357
sent_len,en,en,residual,trankit,mbert-base,Low,-0.0026184685993231316
sent_len,en,en,residual,trankit,mbert-base,Medium,-0.0246641831969987
lex_len,en,en,residual,trankit,mbert-base,High,-0.0029711049592572314
lex_len,en,en,residual,trankit,mbert-base,Low,0.0006677286811999084
lex_len,en,en,residual,trankit,mbert-base,Medium,-0.0024180385893388667
dep_len,en,en,residual,trankit,mbert-base,High,-0.002362001250155399
dep_len,en,en,residual,trankit,mbert-base,Low,-0.004250701318401773
sent_len,en,en,residual,trankit,xlmr-base,High,-0.0035899497149401993
sent_len,en,en,residual,trankit,xlmr-base,Low,-0.025785998564664236
sent_len,en,en,residual,trankit,xlmr-base,Medium,0.005141487960901081
lex_len,en,en,residual,trankit,xlmr-base,High,-0.0015341836085683846
lex_len,en,en,residual,trankit,xlmr-base,Low,-0.0022932250571101598
lex_len,en,en,residual,trankit,xlmr-base,Medium,0.01428021787284428
dep_len,en,en,residual,trankit,xlmr-base,High,-0.00017116095191171965
dep_len,en,en,residual,trankit,xlmr-base,Low,-0.00606315592180362
sent_len,en,hi,residual,stanza,mbert-base,High,-0.006729133975915014
sent_len,en,hi,residual,stanza,mbert-base,Medium,-0.0015100072920177787
sent_len,en,hi,residual,stanza,mbert-base,Low,-0.012245031499013792
lex_len,en,hi,residual,stanza,mbert-base,High,0.010783213501667777
lex_len,en,hi,residual,stanza,mbert-base,Low,-0.0009328530872294571
lex_len,en,hi,residual,stanza,mbert-base,Medium,-0.0060935857733168675
dep_len,en,hi,residual,stanza,mbert-base,High,-0.006705081175491623
dep_len,en,hi,residual,stanza,mbert-base,Medium,0.0011040336992587108
dep_len,en,hi,residual,stanza,mbert-base,Low,-0.007143183216182347
sent_len,en,hi,residual,stanza,xlmr-base,High,-0.01585222198139702
sent_len,en,hi,residual,stanza,xlmr-base,Medium,-0.01675744077364283
sent_len,en,hi,residual,stanza,xlmr-base,Low,-0.0024209720058263606
lex_len,en,hi,residual,stanza,xlmr-base,High,-0.009079903142537149
lex_len,en,hi,residual,stanza,xlmr-base,Low,-0.014505154888679539
lex_len,en,hi,residual,stanza,xlmr-base,Medium,-0.00790101528770415
dep_len,en,hi,residual,stanza,xlmr-base,High,-0.013907041418688038
dep_len,en,hi,residual,stanza,xlmr-base,Medium,-0.010269680449519258
dep_len,en,hi,residual,stanza,xlmr-base,Low,-0.00617601337210294
sent_len,en,hi,residual,trankit,mbert-base,High,-0.012381086901369853
sent_len,en,hi,residual,trankit,mbert-base,Medium,-0.014604251312094085
sent_len,en,hi,residual,trankit,mbert-base,Low,-0.007045687177027582
lex_len,en,hi,residual,trankit,mbert-base,High,-0.004926440681972455
lex_len,en,hi,residual,trankit,mbert-base,Low,-0.01081898714636187
lex_len,en,hi,residual,trankit,mbert-base,Medium,-0.012285818666089354
dep_len,en,hi,residual,trankit,mbert-base,High,-0.012674878169285697
