Language	Model	Parser	Method	Precision	Recall	F1 Score	Macro F1 Score
ar	llama3	None	baseline	0.100153689	0.452546296	0.164010067	0.255659084
ar	llama3	stanza	DAG	0.101508047	0.463541667	0.166545379	0.239689308
ar	llama3	stanza	simple_prompt	0.07775378	0.346153846	0.126984127	0.243083494
ar	llama3	trankit	DAG	0.106149528	0.481481481	0.173949404	0.258857529
ar	llama3	trankit	simple_prompt	0.087939698	0.336538462	0.139442231	0.302926585
ar	mistral	None	baseline	0.358353511	0.342592593	0.350295858	0.367097646
ar	mistral	stanza	DAG	0.38592233	0.368055556	0.376777251	0.381996488
ar	mistral	stanza	simple_prompt	0.317002882	0.264423077	0.288335518	0.272414088
ar	mistral	trankit	DAG	0.386198547	0.369212963	0.377514793	0.371633742
ar	mistral	trankit	simple_prompt	0.304347826	0.257352941	0.278884462	0.273877735
ar	qwen	None	baseline	0.398156682	0.5	0.443304259	0.443139464
ar	qwen	stanza	DAG	0.358111502	0.412615741	0.383436408	0.383867494
ar	qwen	stanza	simple_prompt	0.305084746	0.28125	0.292682927	0.353705589
ar	qwen	trankit	DAG	0.351148851	0.406828704	0.3769437	0.402947291
ar	qwen	trankit	simple_prompt	0.410904255	0.375	0.39213198	0.34316574
de	llama3	None	baseline	0.150886076	0.367447596	0.213926777	0.257116066
de	llama3	stanza	DAG	0.178942398	0.467324291	0.258791396	0.282129304
de	llama3	stanza	simple_prompt	0.11964067	0.361282367	0.179754601	0.192839064
de	llama3	trankit	DAG	0.176621559	0.466707768	0.256262695	0.281921493
de	llama3	trankit	simple_prompt	0.111111111	0.181818182	0.137931034	0.171428571
de	mistral	None	baseline	0.401920439	0.361282367	0.380519481	0.382296653
de	mistral	stanza	DAG	0.410761155	0.38594328	0.397965671	0.405599594
de	mistral	stanza	simple_prompt	0.392764858	0.331154684	0.359338061	0.358719897
de	mistral	trankit	DAG	0.408432148	0.382244143	0.394904459	0.405768996
de	mistral	trankit	simple_prompt	0.396067416	0.330210773	0.360153257	0.352646261
de	qwen	None	baseline	0.376869392	0.466091245	0.416758545	0.39554517
de	qwen	stanza	DAG	0.343345417	0.408754624	0.373205742	0.375733927
de	qwen	stanza	simple_prompt	0.303370787	0.3515625	0.325693607	0.319611973
de	qwen	trankit	DAG	0.343716434	0.394574599	0.3673938	0.367757772
de	qwen	trankit	simple_prompt	0.295503212	0.359375	0.324324324	0.307026764
en	llama3	None	baseline	0.119517334	0.505263158	0.19330855	0.270260117
en	llama3	stanza	DAG	0.122757614	0.476518219	0.195223088	0.259157482
en	llama3	stanza	simple_prompt	0.14619883	0.347222222	0.205761317	0.239291288
en	llama3	trankit	DAG	0.123884623	0.48340081	0.197224975	0.24064968
en	llama3	trankit	simple_prompt	0.318181818	0.388888889	0.35	0.372769018
en	mistral	None	baseline	0.407942238	0.365991903	0.385830132	0.389792942
