src,tgt,dep_model,gnn_model,ml_model,top_seed,top_f1_mean,top_f1_std,all_f1_mean,all_f1_std
en,en,stanza,rgcn,mbert-base,"[15123, 98109, 15232]",85.73,0.8,85.03,1.12
en,en,stanza,rgat,mbert-base,"[98109, 98105, 15123]",85.23,1.35,84.28,1.67
en,en,trankit,rgcn,mbert-base,"[11737, 98105, 98109]",84.29,0.39,82.95,1.77
en,en,trankit,rgat,mbert-base,"[11737, 98109, 15232]",85.53,1.28,84.42,1.71
en,en,None,None,mbert-base,"[98105, 15123, 15232]",84.28,0.69,83.67,0.92
en,en,stanza,rgcn,xlmr-base,"[98105, 15232, 98109]",83.74,0.61,81.82,2.42
en,en,stanza,rgat,xlmr-base,"[15123, 98105, 15232]",84.03,0.85,82.73,1.99
en,en,trankit,rgcn,xlmr-base,"[11737, 98109, 15232]",83.79,0.51,82.77,1.49
en,en,trankit,rgat,xlmr-base,"[98105, 11737, 15123]",82.61,0.83,81.99,1.02
en,en,None,None,xlmr-base,"[11737, 98109, 15232]",83.95,1.11,80.88,5.34
en,es,stanza,rgcn,mbert-base,"[98109, 98105, 15123]",79.61,0.79,79.12,0.86
en,es,stanza,rgat,mbert-base,"[15123, 98105, 15232]",80.34,0.35,79.27,1.78
en,es,trankit,rgcn,mbert-base,"[98105, 11737, 98109]",80.13,0.42,79.16,1.37
en,es,trankit,rgat,mbert-base,"[15232, 98109, 11737]",80.79,0.26,80.08,0.9
en,es,None,None,mbert-base,"[15232, 98109, 11737]",80.4,0.24,79.9,0.73
en,es,stanza,rgcn,xlmr-base,"[98109, 15123, 15232]",74.41,1.28,73.02,1.97
en,es,stanza,rgat,xlmr-base,"[15232, 98109, 15123]",73.11,0.67,72.08,1.37
en,es,trankit,rgcn,xlmr-base,"[98109, 11737, 15232]",74.44,1.49,72.98,2.16
en,es,trankit,rgat,xlmr-base,"[98105, 15232, 98109]",74.9,0.74,73.17,2.24
en,es,None,None,xlmr-base,"[98109, 11737, 15232]",73.13,1.82,70.69,3.65
en,fr,stanza,rgcn,mbert-base,"[98109, 98105, 15123]",80.88,1.39,79.63,1.88
en,fr,stanza,rgat,mbert-base,"[98105, 11737, 15123]",80.26,0.2,79.66,0.88
en,fr,trankit,rgcn,mbert-base,"[15232, 11737, 98105]",80.75,0.47,80.0,1.18
en,fr,trankit,rgat,mbert-base,"[11737, 98105, 15123]",80.7,0.18,79.54,1.43
en,fr,None,None,mbert-base,"[98109, 15232, 11737]",80.73,0.42,79.74,1.26
en,fr,stanza,rgcn,xlmr-base,"[11737, 15232, 98109]",72.71,0.51,71.44,2.04
en,fr,stanza,rgat,xlmr-base,"[15232, 98105, 11737]",72.75,1.38,70.89,2.82
en,fr,trankit,rgcn,xlmr-base,"[98109, 15232, 98105]",72.02,1.83,71.17,1.77
en,fr,trankit,rgat,xlmr-base,"[98105, 11737, 15232]",70.34,0.12,69.77,0.71
en,fr,None,None,xlmr-base,"[98109, 11737, 98105]",72.77,2.83,70.38,3.79
en,it,stanza,rgcn,mbert-base,"[11737, 98109, 15232]",76.18,1.0,75.21,1.45
en,it,stanza,rgat,mbert-base,"[98105, 11737, 15232]",74.79,1.19,73.74,1.6
en,it,trankit,rgcn,mbert-base,"[11737, 15123, 15232]",73.76,0.22,72.93,1.37
en,it,trankit,rgat,mbert-base,"[15232, 11737, 98109]",74.42,1.75,73.65,1.66
en,it,None,None,mbert-base,"[15123, 15232, 11737]",77.35,1.31,75.3,2.88
en,it,stanza,rgcn,xlmr-base,"[98109, 15123, 15232]",67.39,1.29,64.96,3.79
en,it,stanza,rgat,xlmr-base,"[15232, 98109, 15123]",66.5,3.55,63.92,4.22
en,it,trankit,rgcn,xlmr-base,"[98109, 98105, 11737]",65.39,2.17,63.4,3.02
en,it,trankit,rgat,xlmr-base,"[15232, 15123, 98105]",62.42,1.62,60.98,2.16
en,it,None,None,xlmr-base,"[11737, 15232, 98109]",64.17,3.72,61.47,4.68
en,de,stanza,rgcn,mbert-base,"[98105, 98109, 15123]",80.17,0.49,79.26,1.38
en,de,stanza,rgat,mbert-base,"[11737, 98105, 98109]",79.49,0.3,79.05,0.69
en,de,trankit,rgcn,mbert-base,"[98105, 11737, 15123]",79.32,0.68,78.91,0.73
en,de,trankit,rgat,mbert-base,"[98109, 11737, 15232]",79.0,0.69,78.41,0.91
en,de,None,None,mbert-base,"[11737, 15123, 98109]",78.76,0.95,77.56,1.64
