DEP,GNN,ENC,Src,en,es,fr,it,de,ar,zh
stanza,rgcn,mbert-base,en,-,79.6\pm0.8,80.9\pm1.4,76.2\pm1.0,80.2\pm0.5,74.4\pm0.9,72.0\pm0.8
stanza,rgat,mbert-base,en,-,80.3\pm0.4,80.3\pm0.2,74.8\pm1.2,79.5\pm0.3,74.1\pm0.9,72.3\pm0.4
trankit,rgcn,mbert-base,en,-,80.1\pm0.4,80.8\pm0.5,73.8\pm0.2,79.3\pm0.7,73.8\pm1.8,69.5\pm0.6
trankit,rgat,mbert-base,en,-,80.8\pm0.3,80.7\pm0.2,74.4\pm1.8,79.0\pm0.7,74.5\pm0.7,70.1\pm0.6
-,-,mbert-base,en,-,80.4\pm0.2,80.7\pm0.4,77.3\pm1.3,78.8\pm0.9,72.7\pm0.8,70.4\pm0.6
stanza,rgcn,mbert-base,es,78.0\pm0.4,-,82.6\pm0.8,77.6\pm1.4,76.9\pm1.3,73.2\pm0.5,69.2\pm0.6
stanza,rgat,mbert-base,es,79.1\pm0.2,-,78.4\pm0.5,77.4\pm1.3,76.2\pm0.7,73.5\pm0.9,69.7\pm1.5
trankit,rgcn,mbert-base,es,79.3\pm0.9,-,80.6\pm1.6,76.3\pm0.6,77.1\pm1.0,73.3\pm0.3,71.5\pm1.6
trankit,rgat,mbert-base,es,80.0\pm1.1,-,78.7\pm0.5,78.3\pm1.0,77.7\pm0.8,72.6\pm1.2,71.2\pm2.6
-,-,mbert-base,es,77.6\pm0.1,-,77.2\pm0.8,76.4\pm0.6,75.9\pm0.7,70.9\pm1.6,70.8\pm1.1
stanza,rgcn,mbert-base,fr,76.6\pm0.3,82.1\pm1.0,-,77.7\pm0.7,76.6\pm0.2,70.4\pm0.8,66.8\pm0.9
stanza,rgat,mbert-base,fr,80.0\pm0.7,82.1\pm0.9,-,77.0\pm1.0,77.5\pm1.5,71.5\pm1.0,67.5\pm1.2
trankit,rgcn,mbert-base,fr,78.6\pm0.3,83.3\pm1.6,-,78.7\pm1.1,78.8\pm2.5,72.4\pm0.5,69.7\pm0.7
trankit,rgat,mbert-base,fr,80.1\pm0.8,79.7\pm2.1,-,76.6\pm1.5,77.4\pm0.1,70.9\pm0.8,68.4\pm0.5
-,-,mbert-base,fr,76.6\pm2.9,80.4\pm1.3,-,76.9\pm2.0,74.8\pm1.6,70.2\pm1.1,66.4\pm2.6
stanza,rgcn,mbert-base,it,79.0\pm0.6,83.0\pm0.7,77.2\pm1.0,-,74.7\pm1.4,70.8\pm0.3,70.0\pm0.7
