DEP,GNN,ENC,en,es,fr,it,de,ALL
stanza,rgcn,mbert-base,0.8573018860255172,0.8052598851085007,0.7965199712647792,0.7822548111183315,0.7999632317159983,0.8082599570466253
stanza,rgat,mbert-base,0.8522886462103992,0.8218561461539237,0.7990149254213893,0.7786307377931712,0.8052090736251697,0.8113999058408107
trankit,rgcn,mbert-base,0.8429017891491036,0.8177145734109876,0.807468851315749,0.7885399930098106,0.7974818744386023,0.8108214162648506
trankit,rgat,mbert-base,0.8552758390889345,0.8086151116949033,0.8019709034743413,0.7728596203518188,0.7888499409816813,0.8055142831183358
-,-,mbert-base,0.8427949531429388,0.7997706293223571,0.786390294158171,0.7631927101967216,0.7873839389862196,0.7959065051612816
stanza,rgcn,xlmr-base,0.8374477160865735,0.767846307992761,0.7668358612377154,0.732640001354785,0.7567244377514867,0.7722988648846644
stanza,rgat,xlmr-base,0.8402536598514271,0.7754087435941889,0.7443226814821212,0.755541552835976,0.7624092429734359,0.7755871761474299
trankit,rgcn,xlmr-base,0.8378884282659159,0.7636991926369906,0.7470174797217773,0.7263210625325538,0.7390910757489867,0.7628034477812449
trankit,rgat,xlmr-base,0.82606721803918,0.7734385790731145,0.7503258606325679,0.7396299695915663,0.7589962700367993,0.7696915794746457
-,-,xlmr-base,0.8395099988037531,0.7717969718506467,0.7624682633804523,0.7478775182222374,0.7524941265260425,0.7748293757566265
