src,tgt,dep_model,gnn_model,ml_model,seed,f1
en,en,stanza,rgcn,mbert-base,11737,0.8459832698074763
en,en,stanza,rgat,mbert-base,11737,0.8374079133729011
en,en,trankit,rgcn,mbert-base,11737,0.8481826728739774
en,en,trankit,rgat,mbert-base,11737,0.8659163163337051
en,en,None,None,mbert-base,11737,0.8276767019284479
en,en,stanza,rgcn,mbert-base,15123,0.8680521662925438
en,en,stanza,rgat,mbert-base,15123,0.8386165817625482
en,en,trankit,rgcn,mbert-base,15123,0.8186449424511244
en,en,trankit,rgat,mbert-base,15123,0.8324042248820578
en,en,None,None,mbert-base,15123,0.8416243589273646
en,en,stanza,rgcn,mbert-base,98105,0.8337183526199654
en,en,stanza,rgat,mbert-base,98105,0.8475598705570303
en,en,trankit,rgcn,mbert-base,98105,0.8415624777421411
en,en,trankit,rgat,mbert-base,98105,0.8226351519943707
en,en,None,None,mbert-base,98105,0.8517538457543555
en,en,stanza,rgcn,mbert-base,98109,0.8549449714063224
en,en,stanza,rgat,mbert-base,98109,0.8706894863116197
en,en,trankit,rgcn,mbert-base,98109,0.8389602168311922
en,en,trankit,rgat,mbert-base,98109,0.8627056973792817
en,en,None,None,mbert-base,98109,0.8274805244461398
en,en,stanza,rgcn,mbert-base,15232,0.8489085203776852
en,en,stanza,rgat,mbert-base,15232,0.8194765637523227
en,en,trankit,rgcn,mbert-base,15232,0.8001779978514131
en,en,trankit,rgat,mbert-base,15232,0.8372055035538166
en,en,None,None,mbert-base,15232,0.8350066547470966
en,en,stanza,rgcn,xlmr-base,11737,0.7941185352507512
en,en,stanza,rgat,xlmr-base,11737,0.8237970836035695
en,en,trankit,rgcn,xlmr-base,11737,0.8449194982368229
en,en,trankit,rgat,xlmr-base,11737,0.8224846932249439
en,en,None,None,xlmr-base,11737,0.8539134288527457
en,en,stanza,rgcn,xlmr-base,15123,0.7847632870786256
en,en,stanza,rgat,xlmr-base,15123,0.8464306856066672
en,en,trankit,rgcn,xlmr-base,15123,0.8238404875256562
en,en,trankit,rgat,xlmr-base,15123,0.8181823317409558
en,en,None,None,xlmr-base,15123,0.704457953670436
en,en,stanza,rgcn,xlmr-base,98105,0.8433950782458342
en,en,stanza,rgat,xlmr-base,98105,0.8460295016742879
en,en,trankit,rgcn,xlmr-base,98105,0.8011228016157899
en,en,trankit,rgat,xlmr-base,98105,0.8375346291516401
en,en,None,None,xlmr-base,98105,0.8209633639171956
en,en,stanza,rgcn,xlmr-base,98109,0.8290935516685112
en,en,stanza,rgat,xlmr-base,98109,0.7918350678981525
en,en,trankit,rgcn,xlmr-base,98109,0.8357992054501235
en,en,trankit,rgat,xlmr-base,98109,0.8145968872156073
en,en,None,None,xlmr-base,98109,0.8376241508017915
en,en,stanza,rgcn,xlmr-base,15232,0.8398545183453753
en,en,stanza,rgat,xlmr-base,15232,0.8283007922733263
en,en,trankit,rgcn,xlmr-base,15232,0.8329465811108012
en,en,trankit,rgat,xlmr-base,15232,0.8068231938434935
en,en,None,None,xlmr-base,15232,0.8269924167567224
en,es,stanza,rgcn,mbert-base,11737,0.7837323544340226
en,es,stanza,rgat,mbert-base,11737,0.7581289845241184
en,es,trankit,rgcn,mbert-base,11737,0.8041467510628673
en,es,trankit,rgat,mbert-base,11737,0.8052856625398809
en,es,None,None,mbert-base,11737,0.8006036015592932
en,es,stanza,rgcn,mbert-base,15123,0.7850853868853656
en,es,stanza,rgat,mbert-base,15123,0.8060106456428299
en,es,trankit,rgcn,mbert-base,15123,0.7672985726293118
en,es,trankit,rgat,mbert-base,15123,0.7897958855261501
en,es,None,None,mbert-base,15123,0.7967936131574707
en,es,stanza,rgcn,mbert-base,98105,0.7998776844345246
