src,ml_model,dep_model,split,sent_len_mean,lex_len_mean,dep_len_mean,sent_len_median,lex_len_median,dep_len_median,num_docs,num_relations
en,mbert-base,stanza,train,119.58,28.87,6.41,109.0,17.0,6.0,8504,32
en,mbert-base,stanza,validation,107.11,22.11,6.19,96.0,15.0,6.0,1160,32
en,mbert-base,stanza,test,113.23,27.15,6.53,104.0,16.0,6.0,1235,32
es,mbert-base,stanza,train,104.6,26.43,6.26,91.0,17.0,6.0,5194,32
es,mbert-base,stanza,validation,104.06,24.54,6.35,96.0,17.0,6.0,611,32
es,mbert-base,stanza,test,97.62,23.93,6.0,88.0,17.0,6.0,733,32
fr,mbert-base,stanza,train,96.92,24.99,5.91,82.5,16.0,6.0,5452,32
fr,mbert-base,stanza,validation,77.91,17.49,5.71,64.0,13.0,5.0,956,32
fr,mbert-base,stanza,test,79.64,18.69,5.74,66.0,13.0,5.0,975,31
it,mbert-base,stanza,train,86.26,22.95,6.08,72.0,16.0,6.0,4597,32
it,mbert-base,stanza,validation,61.14,14.76,5.14,45.0,10.0,5.0,1129,32
it,mbert-base,stanza,test,68.77,16.48,5.26,54.0,10.0,5.0,1086,32
de,mbert-base,stanza,train,89.08,22.76,5.23,79.0,15.0,5.0,5909,32
de,mbert-base,stanza,validation,88.26,24.94,5.61,81.0,18.0,5.0,777,31
de,mbert-base,stanza,test,87.22,22.59,5.35,81.0,16.0,5.0,811,32
ar,mbert-base,stanza,train,,,,,,,0,0
ar,mbert-base,stanza,validation,106.67,29.07,6.04,88.0,22.0,6.0,982,32
ar,mbert-base,stanza,test,107.7,30.36,6.13,92.0,23.0,6.0,864,32
zh,mbert-base,stanza,train,,,,,,,0,0
zh,mbert-base,stanza,validation,121.54,35.2,6.72,107.0,22.0,6.0,721,32
zh,mbert-base,stanza,test,114.52,35.31,6.65,93.0,23.0,6.0,663,32
en,mbert-base,trankit,train,119.58,28.87,6.37,109.0,17.0,6.0,8504,32
en,mbert-base,trankit,validation,107.11,22.11,6.16,96.0,15.0,6.0,1160,32
en,mbert-base,trankit,test,113.23,27.15,6.49,104.0,16.0,6.0,1235,32
es,mbert-base,trankit,train,104.6,26.43,6.19,91.0,17.0,6.0,5194,32
es,mbert-base,trankit,validation,104.06,24.54,6.2,96.0,17.0,6.0,611,32
es,mbert-base,trankit,test,97.62,23.93,5.88,88.0,17.0,6.0,733,32
fr,mbert-base,trankit,train,96.92,24.99,5.75,82.5,16.0,5.0,5452,32
fr,mbert-base,trankit,validation,77.91,17.49,5.46,64.0,13.0,5.0,956,32
fr,mbert-base,trankit,test,79.64,18.69,5.54,66.0,13.0,5.0,975,31
it,mbert-base,trankit,train,86.26,22.95,5.91,72.0,16.0,6.0,4597,32
it,mbert-base,trankit,validation,61.14,14.76,5.04,45.0,10.0,5.0,1129,32
it,mbert-base,trankit,test,68.77,16.48,5.13,54.0,10.0,5.0,1086,32
de,mbert-base,trankit,train,89.08,22.76,5.09,79.0,15.0,5.0,5909,32
de,mbert-base,trankit,validation,88.26,24.94,5.57,81.0,18.0,5.0,777,31
de,mbert-base,trankit,test,87.22,22.59,5.22,81.0,16.0,5.0,811,32
ar,mbert-base,trankit,train,,,,,,,0,0
ar,mbert-base,trankit,validation,106.67,29.07,6.02,88.0,22.0,6.0,982,32
ar,mbert-base,trankit,test,107.7,30.36,6.36,92.0,23.0,6.0,864,32
zh,mbert-base,trankit,train,,,,,,,0,0
zh,mbert-base,trankit,validation,121.54,35.2,6.74,107.0,22.0,6.0,721,32
zh,mbert-base,trankit,test,114.52,35.31,6.77,93.0,23.0,6.0,663,32
en,xlmr-base,stanza,train,132.83,32.56,6.41,122.0,19.0,6.0,8504,32
en,xlmr-base,stanza,validation,118.03,25.0,6.19,107.0,17.0,6.0,1160,32
en,xlmr-base,stanza,test,124.66,30.48,6.53,114.0,19.0,6.0,1235,32
es,xlmr-base,stanza,train,113.42,29.41,6.26,101.0,19.0,6.0,5194,32
es,xlmr-base,stanza,validation,111.22,27.0,6.35,102.0,19.0,6.0,611,32
es,xlmr-base,stanza,test,104.54,26.54,6.0,96.0,19.0,6.0,733,32
fr,xlmr-base,stanza,train,108.67,28.83,5.91,92.0,19.0,6.0,5452,32
fr,xlmr-base,stanza,validation,86.88,20.24,5.71,72.0,15.0,5.0,956,32
fr,xlmr-base,stanza,test,88.58,21.61,5.74,72.0,16.0,5.0,975,31
it,xlmr-base,stanza,train,92.35,25.13,6.08,78.0,18.0,6.0,4597,32
it,xlmr-base,stanza,validation,66.24,16.82,5.14,50.0,11.0,5.0,1129,32
it,xlmr-base,stanza,test,74.24,18.66,5.26,58.0,11.0,5.0,1086,32
de,xlmr-base,stanza,train,96.64,25.35,5.23,86.0,17.0,5.0,5909,32
de,xlmr-base,stanza,validation,95.43,27.48,5.61,89.0,20.0,5.0,777,31
de,xlmr-base,stanza,test,93.99,24.97,5.35,87.0,18.0,5.0,811,32
ar,xlmr-base,stanza,train,,,,,,,0,0
ar,xlmr-base,stanza,validation,95.76,26.2,6.04,78.0,19.0,6.0,982,32
ar,xlmr-base,stanza,test,95.86,27.14,6.13,81.0,20.0,6.0,864,32
zh,xlmr-base,stanza,train,,,,,,,0,0
zh,xlmr-base,stanza,validation,98.31,28.31,6.72,86.0,18.0,6.0,721,32
zh,xlmr-base,stanza,test,93.68,28.39,6.65,76.0,18.0,6.0,663,32
en,xlmr-base,trankit,train,132.83,32.56,6.37,122.0,19.0,6.0,8504,32
en,xlmr-base,trankit,validation,118.03,25.0,6.16,107.0,17.0,6.0,1160,32
en,xlmr-base,trankit,test,124.66,30.48,6.49,114.0,19.0,6.0,1235,32
es,xlmr-base,trankit,train,113.42,29.41,6.19,101.0,19.0,6.0,5194,32
es,xlmr-base,trankit,validation,111.22,27.0,6.2,102.0,19.0,6.0,611,32
es,xlmr-base,trankit,test,104.54,26.54,5.88,96.0,19.0,6.0,733,32
fr,xlmr-base,trankit,train,108.67,28.83,5.75,92.0,19.0,5.0,5452,32
fr,xlmr-base,trankit,validation,86.88,20.24,5.46,72.0,15.0,5.0,956,32
fr,xlmr-base,trankit,test,88.58,21.61,5.54,72.0,16.0,5.0,975,31
it,xlmr-base,trankit,train,92.35,25.13,5.91,78.0,18.0,6.0,4597,32
it,xlmr-base,trankit,validation,66.24,16.82,5.04,50.0,11.0,5.0,1129,32
it,xlmr-base,trankit,test,74.24,18.66,5.13,58.0,11.0,5.0,1086,32
de,xlmr-base,trankit,train,96.64,25.35,5.09,86.0,17.0,5.0,5909,32
de,xlmr-base,trankit,validation,95.43,27.48,5.57,89.0,20.0,5.0,777,31
de,xlmr-base,trankit,test,93.99,24.97,5.22,87.0,18.0,5.0,811,32
ar,xlmr-base,trankit,train,,,,,,,0,0
ar,xlmr-base,trankit,validation,95.76,26.2,6.02,78.0,19.0,6.0,982,32
ar,xlmr-base,trankit,test,95.86,27.14,6.36,81.0,20.0,6.0,864,32
zh,xlmr-base,trankit,train,,,,,,,0,0
zh,xlmr-base,trankit,validation,98.31,28.31,6.74,86.0,18.0,6.0,721,32
zh,xlmr-base,trankit,test,93.68,28.39,6.77,76.0,18.0,6.0,663,32
