src,ml_model,dep_model,split,sent_len_mean,lex_len_mean,dep_len_mean,sent_len_median,lex_len_median,dep_len_median,num_docs,num_relations
en,mbert-base,stanza,total,117.53,27.96,6.4,107.0,17.0,6.0,10899,32
es,mbert-base,stanza,total,103.77,25.97,6.24,91.0,17.0,6.0,6538,32
fr,mbert-base,stanza,total,92.18,23.19,5.86,78.0,15.0,5.0,7383,32
it,mbert-base,stanza,total,79.31,20.56,5.8,65.0,14.0,5.0,6812,32
de,mbert-base,stanza,total,88.79,22.97,5.28,79.0,15.0,5.0,7497,32
ar,mbert-base,stanza,total,107.15,29.68,6.08,90.0,22.0,6.0,1846,32
zh,mbert-base,stanza,total,118.18,35.25,6.69,101.0,22.0,6.0,1384,32
en,mbert-base,trankit,total,117.53,27.96,6.37,107.0,17.0,6.0,10899,32
es,mbert-base,trankit,total,103.77,25.97,6.16,91.0,17.0,6.0,6538,32
fr,mbert-base,trankit,total,92.18,23.19,5.68,78.0,15.0,5.0,7383,32
it,mbert-base,trankit,total,79.31,20.56,5.64,65.0,14.0,5.0,6812,32
de,mbert-base,trankit,total,88.79,22.97,5.16,79.0,15.0,5.0,7497,32
ar,mbert-base,trankit,total,107.15,29.68,6.18,90.0,22.0,6.0,1846,32
zh,mbert-base,trankit,total,118.18,35.25,6.75,101.0,22.0,6.0,1384,32
en,xlmr-base,stanza,total,130.33,31.52,6.4,119.0,19.0,6.0,10899,32
es,xlmr-base,stanza,total,112.22,28.86,6.24,100.0,19.0,6.0,6538,32
fr,xlmr-base,stanza,total,103.2,26.77,5.86,86.0,17.0,5.0,7383,32
it,xlmr-base,stanza,total,85.14,22.72,5.8,71.0,16.0,5.0,6812,32
de,xlmr-base,stanza,total,96.23,25.53,5.28,87.0,17.0,5.0,7497,32
ar,xlmr-base,stanza,total,95.81,26.64,6.08,81.0,19.0,6.0,1846,32
zh,xlmr-base,stanza,total,96.1,28.35,6.69,81.0,18.0,6.0,1384,32
en,xlmr-base,trankit,total,130.33,31.52,6.37,119.0,19.0,6.0,10899,32
es,xlmr-base,trankit,total,112.22,28.86,6.16,100.0,19.0,6.0,6538,32
fr,xlmr-base,trankit,total,103.2,26.77,5.68,86.0,17.0,5.0,7383,32
it,xlmr-base,trankit,total,85.14,22.72,5.64,71.0,16.0,5.0,6812,32
de,xlmr-base,trankit,total,96.23,25.53,5.16,87.0,17.0,5.0,7497,32
ar,xlmr-base,trankit,total,95.81,26.64,6.18,81.0,19.0,6.0,1846,32
zh,xlmr-base,trankit,total,96.1,28.35,6.75,81.0,18.0,6.0,1384,32
